duplicate_count,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
20,555524,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-06-05 11:37:00,2.95,16923,United Kingdom
12,555524,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-06-05 11:37:00,2.95,16923,United Kingdom
8,572861,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-10-26 12:46:00,1.25,14102,United Kingdom
6,572344,M,Manual,48,2011-10-24 10:43:00,1.5,14607,United Kingdom
6,541266,21755,LOVE BUILDING BLOCK WORD,1,2011-01-16 16:25:00,5.95,15673,United Kingdom
6,541266,21754,HOME BUILDING BLOCK WORD,1,2011-01-16 16:25:00,5.95,15673,United Kingdom
6,538514,21756,BATH BUILDING BLOCK WORD,1,2010-12-12 14:27:00,5.95,15044,United Kingdom
6,578289,23395,BELLE JARDINIERE CUSHION COVER,1,2011-11-23 14:07:00,3.75,17841,United Kingdom
6,540524,21756,BATH BUILDING BLOCK WORD,1,2011-01-09 12:53:00,5.95,16735,United Kingdom
5,550331,85202,HANGING WOOD AND FELT HEART,1,2011-04-17 13:43:00,0.42,15555,United Kingdom
5,538517,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-12 16:05:00,3.75,17618,United Kingdom
5,537224,70007,HI TEC ALPINE HAND WARMER,1,2010-12-05 16:24:00,1.65,13174,United Kingdom
5,547712,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-03-24 19:31:00,2.95,16905,United Kingdom
5,574481,23084,RABBIT NIGHT LIGHT,1,2011-11-04 12:45:00,2.08,18022,United Kingdom
4,580305,23120,PACK OF 6 SMALL FRUIT STRAWS,1,2011-12-02 14:26:00,0.42,12970,United Kingdom
4,578998,23214,JINGLE BELL HEART ANTIQUE GOLD,1,2011-11-27 16:05:00,2.08,15436,United Kingdom
4,578041,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2011-11-22 14:23:00,2.95,17338,United Kingdom
4,579458,22867,HAND WARMER BIRD DESIGN,1,2011-11-29 14:38:00,2.1,16549,United Kingdom
4,579146,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-11-28 13:14:00,4.95,16347,United Kingdom
4,569521,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2011-10-04 14:33:00,0.39,16474,United Kingdom
4,572834,23035,DRAWER KNOB CERAMIC IVORY,6,2011-10-26 11:46:00,1.45,12748,United Kingdom
4,573373,23103,JINGLE BELL HEART DECORATION,1,2011-10-30 13:37:00,1.65,14684,United Kingdom
4,580908,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-12-06 13:20:00,4.95,16495,United Kingdom
4,575760,22082,RIBBON REEL STRIPES DESIGN ,1,2011-11-11 10:50:00,1.65,15965,United Kingdom
4,544450,47567B,TEA TIME KITCHEN APRON,1,2011-02-20 12:23:00,5.95,17811,United Kingdom
4,547906,22261,FELT EGG COSY WHITE RABBIT ,1,2011-03-28 12:13:00,0.85,14410,United Kingdom
4,544463,22256,FELT FARM ANIMAL CHICKEN,1,2011-02-20 14:31:00,1.25,12988,United Kingdom
4,578289,23394,POSTE FRANCE CUSHION COVER,1,2011-11-23 14:07:00,3.75,17841,United Kingdom
