month_start,first_observed_date,last_observed_date,transaction_rows,observed_transaction_dates,observed_on_first_calendar_day,observed_on_last_calendar_day
2010-12-01,2010-12-01,2010-12-23,41981,20,true,false
2011-01-01,2011-01-04,2011-01-31,34900,24,false,true
2011-02-01,2011-02-01,2011-02-28,27479,24,true,true
2011-03-01,2011-03-01,2011-03-31,36439,27,true,true
2011-04-01,2011-04-01,2011-04-28,29701,21,true,false
2011-05-01,2011-05-01,2011-05-31,36782,25,true,true
2011-06-01,2011-06-01,2011-06-30,36609,26,true,true
2011-07-01,2011-07-01,2011-07-31,39267,26,true,true
2011-08-01,2011-08-01,2011-08-31,35064,26,true,true
2011-09-01,2011-09-01,2011-09-30,49861,26,true,true
2011-10-01,2011-10-02,2011-10-31,59969,26,false,true
2011-11-01,2011-11-01,2011-11-30,83343,26,true,true
2011-12-01,2011-12-01,2011-12-09,25246,8,true,false
