calendar_date,day_name
2010-12-04,Saturday
2010-12-11,Saturday
2010-12-18,Saturday
2010-12-24,Friday
2010-12-25,Saturday
2010-12-26,Sunday
2010-12-27,Monday
2010-12-28,Tuesday
2010-12-29,Wednesday
2010-12-30,Thursday
2010-12-31,Friday
2011-01-01,Saturday
2011-01-02,Sunday
2011-01-03,Monday
2011-01-08,Saturday
2011-01-15,Saturday
2011-01-22,Saturday
2011-01-29,Saturday
2011-02-05,Saturday
2011-02-12,Saturday
2011-02-19,Saturday
2011-02-26,Saturday
2011-03-05,Saturday
2011-03-12,Saturday
2011-03-19,Saturday
2011-03-26,Saturday
2011-04-02,Saturday
2011-04-09,Saturday
2011-04-16,Saturday
2011-04-22,Friday
2011-04-23,Saturday
2011-04-24,Sunday
2011-04-25,Monday
2011-04-29,Friday
2011-04-30,Saturday
2011-05-02,Monday
2011-05-07,Saturday
2011-05-14,Saturday
2011-05-21,Saturday
2011-05-28,Saturday
2011-05-30,Monday
2011-06-04,Saturday
2011-06-11,Saturday
2011-06-18,Saturday
2011-06-25,Saturday
2011-07-02,Saturday
2011-07-09,Saturday
2011-07-16,Saturday
2011-07-23,Saturday
2011-07-30,Saturday
2011-08-06,Saturday
2011-08-13,Saturday
2011-08-20,Saturday
2011-08-27,Saturday
2011-08-29,Monday
2011-09-03,Saturday
2011-09-10,Saturday
2011-09-17,Saturday
2011-09-24,Saturday
2011-10-01,Saturday
2011-10-08,Saturday
2011-10-15,Saturday
2011-10-22,Saturday
2011-10-29,Saturday
2011-11-05,Saturday
2011-11-12,Saturday
2011-11-19,Saturday
2011-11-26,Saturday
2011-12-03,Saturday
