identifier_name,identifier_value,row_count,distinct_invoice_count,distinct_stock_code_count,distinct_description_count,example_description,first_seen,last_seen
InvoiceNo,A563185,1,1,1,1,Adjust bad debt,2011-08-12 14:50:00,2011-08-12 14:50:00
InvoiceNo,A563186,1,1,1,1,Adjust bad debt,2011-08-12 14:51:00,2011-08-12 14:51:00
InvoiceNo,A563187,1,1,1,1,Adjust bad debt,2011-08-12 14:52:00,2011-08-12 14:52:00
StockCode,POST,1256,1254,1,1,POSTAGE,2010-12-01 08:45:00,2011-12-09 12:16:00
StockCode,DOT,710,710,1,1,DOTCOM POSTAGE,2010-12-01 14:32:00,2011-12-09 10:26:00
StockCode,M,566,517,1,1,Manual,2010-12-01 15:35:00,2011-12-09 10:28:00
StockCode,C2,144,144,1,1,CARRIAGE,2010-12-01 14:05:00,2011-12-05 10:18:00
StockCode,D,77,65,1,1,Discount,2010-12-01 09:41:00,2011-12-01 08:49:00
StockCode,S,62,19,1,1,SAMPLES,2010-12-07 12:03:00,2011-11-18 14:16:00
StockCode,BANK CHARGES,37,36,1,1,Bank Charges,2010-12-02 15:08:00,2011-12-07 12:45:00
StockCode,AMAZONFEE,34,34,1,1,AMAZON FEE,2010-12-07 12:41:00,2011-12-05 11:36:00
StockCode,CRUK,16,16,1,1,CRUK Commission,2011-08-30 10:49:00,2011-12-05 17:17:00
StockCode,DCGSSGIRL,13,13,1,1,GIRLS PARTY BAG,2011-02-07 14:04:00,2011-11-16 15:23:00
StockCode,DCGSSBOY,11,11,1,1,BOYS PARTY BAG,2011-02-07 14:04:00,2011-12-01 16:22:00
StockCode,gift_0001_20,10,10,1,2,"Dotcomgiftshop Gift Voucher £20.00",2011-01-05 14:44:00,2011-10-31 14:41:00
StockCode,gift_0001_10,9,9,1,1,"Dotcomgiftshop Gift Voucher £10.00",2011-03-07 17:14:00,2011-12-08 09:20:00
StockCode,gift_0001_30,8,8,1,1,"Dotcomgiftshop Gift Voucher £30.00",2011-01-05 14:44:00,2011-09-02 09:26:00
StockCode,DCGS0003,5,5,1,2,BOXED GLASS ASHTRAY,2010-12-10 14:59:00,2011-07-26 11:53:00
StockCode,PADS,4,4,1,1,PADS TO MATCH ALL CUSHIONS,2011-04-15 09:27:00,2011-09-25 14:58:00
StockCode,gift_0001_50,4,4,1,1,"Dotcomgiftshop Gift Voucher £50.00",2010-12-23 13:26:00,2011-06-30 15:56:00
StockCode,B,3,3,1,1,Adjust bad debt,2011-08-12 14:50:00,2011-08-12 14:52:00
StockCode,gift_0001_40,3,3,1,1,"Dotcomgiftshop Gift Voucher £40.00",2010-12-20 10:14:00,2011-07-27 15:12:00
StockCode,DCGS0069,2,2,1,2,OOH LA LA DOGS COLLAR,2011-01-28 14:25:00,2011-07-26 11:52:00
StockCode,DCGS0070,2,2,1,1,CAMOUFLAGE DOG COLLAR,2010-12-21 13:06:00,2011-07-26 11:51:00
StockCode,DCGS0076,2,2,1,1,SUNJAR LED NIGHT NIGHT LIGHT,2010-12-09 14:09:00,2010-12-20 15:03:00
StockCode,DCGS0004,1,1,1,1,HAYNES CAMPER SHOULDER BAG,2011-04-27 17:23:00,2011-04-27 17:23:00
StockCode,DCGS0055,1,1,1,0,NULL,2011-01-28 13:08:00,2011-01-28 13:08:00
StockCode,DCGS0057,1,1,1,0,NULL,2011-01-28 15:01:00,2011-01-28 15:01:00
StockCode,DCGS0066P,1,1,1,0,NULL,2011-07-26 11:52:00,2011-07-26 11:52:00
StockCode,DCGS0067,1,1,1,1,ebay,2011-07-26 11:52:00,2011-07-26 11:52:00
StockCode,DCGS0068,1,1,1,1,ebay,2011-07-26 11:52:00,2011-07-26 11:52:00
StockCode,DCGS0071,1,1,1,0,NULL,2011-07-26 11:51:00,2011-07-26 11:51:00
StockCode,DCGS0072,1,1,1,0,NULL,2011-01-28 13:08:00,2011-01-28 13:08:00
StockCode,DCGS0073,1,1,1,1,ebay,2011-07-26 11:51:00,2011-07-26 11:51:00
StockCode,DCGS0074,1,1,1,0,NULL,2011-01-28 13:09:00,2011-01-28 13:09:00
StockCode,m,1,1,1,1,Manual,2010-12-21 15:18:00,2010-12-21 15:18:00
