identifier_name,normalized_value,observed_variant_count,observed_variants,row_count
StockCode,15056BL,2,"15056BL, 15056bl",388
StockCode,15056N,2,"15056N, 15056n",549
StockCode,15056P,2,"15056P, 15056p",174
StockCode,15060B,2,"15060B, 15060b",137
StockCode,18098C,2,"18098C, 18098c",67
StockCode,35809A,2,"35809A, 35809a",73
StockCode,46776A,2,"46776A, 46776a",71
StockCode,46776B,2,"46776B, 46776b",89
StockCode,46776E,2,"46776E, 46776e",39
StockCode,46776F,2,"46776F, 46776f",90
StockCode,47518F,2,"47518F, 47518f",33
StockCode,47559B,2,"47559B, 47559b",320
StockCode,47566B,2,"47566B, 47566b",478
StockCode,47570B,2,"47570B, 47570b",35
StockCode,47590B,2,"47590B, 47590b",408
StockCode,47591B,2,"47591B, 47591b",60
StockCode,47591D,2,"47591D, 47591d",498
StockCode,47593B,2,"47593B, 47593b",248
StockCode,48173C,2,"48173C, 48173c",199
StockCode,51014C,2,"51014C, 51014c",180
StockCode,72349B,2,"72349B, 72349b",198
StockCode,72351A,2,"72351A, 72351a",168
StockCode,72801C,2,"72801C, 72801c",45
StockCode,72801D,2,"72801D, 72801d",62
StockCode,72802A,2,"72802A, 72802a",73
StockCode,72802C,2,"72802C, 72802c",117
StockCode,72803B,2,"72803B, 72803b",2
StockCode,72807A,2,"72807A, 72807a",122
StockCode,72807B,2,"72807B, 72807b",120
StockCode,72807C,2,"72807C, 72807c",175
StockCode,79066K,2,"79066K, 79066k",159
StockCode,82001S,2,"82001S, 82001s",159
StockCode,82494L,2,"82494L, 82494l",1000
StockCode,82613A,2,"82613A, 82613a",20
StockCode,82613B,2,"82613B, 82613b",117
StockCode,82613C,2,"82613C, 82613c",101
StockCode,84030E,2,"84030E, 84030e",382
StockCode,84031A,2,"84031A, 84031a",167
StockCode,84031B,2,"84031B, 84031b",147
StockCode,84509A,2,"84509A, 84509a",301
StockCode,84509B,2,"84509B, 84509b",84
StockCode,84509C,2,"84509C, 84509c",78
StockCode,84509G,2,"84509G, 84509g",68
StockCode,84510A,2,"84510A, 84510a",282
StockCode,84510C,2,"84510C, 84510c",77
StockCode,84510E,2,"84510E, 84510e",17
StockCode,84534B,2,"84534B, 84534b",16
StockCode,84536A,2,"84536A, 84536a",350
StockCode,84536B,2,"84536B, 84536b",182
StockCode,84558A,2,"84558A, 84558a",87
StockCode,84559A,2,"84559A, 84559a",116
StockCode,84559B,2,"84559B, 84559b",78
StockCode,84596B,2,"84596B, 84596b",535
StockCode,84596E,2,"84596E, 84596e",87
StockCode,84596F,2,"84596F, 84596f",457
StockCode,84596G,2,"84596G, 84596g",250
StockCode,84596L,2,"84596L, 84596l",174
StockCode,84660A,2,"84660A, 84660a",49
StockCode,84660B,2,"84660B, 84660b",42
StockCode,84660C,2,"84660C, 84660c",63
StockCode,84661A,2,"84661A, 84661a",21
StockCode,84661B,2,"84661B, 84661b",30
StockCode,84795B,2,"84795B, 84795b",62
StockCode,84796A,2,"84796A, 84796a",55
StockCode,84872A,2,"84872A, 84872a",57
StockCode,84884A,2,"84884A, 84884a",105
StockCode,84968A,2,"84968A, 84968a",105
StockCode,84968D,2,"84968D, 84968d",59
StockCode,84968E,2,"84968E, 84968e",53
StockCode,84968F,2,"84968F, 84968f",67
StockCode,84970L,2,"84970L, 84970l",509
StockCode,84970S,2,"84970S, 84970s",609
StockCode,84971L,2,"84971L, 84971l",2
StockCode,84989A,2,"84989A, 84989a",44
StockCode,84993A,2,"84993A, 84993a",74
StockCode,84997A,2,"84997A, 84997a",328
StockCode,84997B,2,"84997B, 84997b",447
StockCode,84997C,2,"84997C, 84997c",404
StockCode,84997D,2,"84997D, 84997d",554
StockCode,85014A,2,"85014A, 85014a",293
StockCode,85014B,2,"85014B, 85014b",375
StockCode,85034A,2,"85034A, 85034a",88
StockCode,85034B,2,"85034B, 85034b",123
StockCode,85035A,2,"85035A, 85035a",90
StockCode,85035B,2,"85035B, 85035b",72
StockCode,85035C,2,"85035C, 85035c",136
StockCode,85036A,2,"85036A, 85036a",67
StockCode,85036B,2,"85036B, 85036b",53
StockCode,85039A,2,"85039A, 85039a",192
StockCode,85040A,2,"85040A, 85040a",198
StockCode,85049A,2,"85049A, 85049a",365
StockCode,85049B,2,"85049B, 85049b",18
StockCode,85049C,2,"85049C, 85049c",230
StockCode,85049D,2,"85049D, 85049d",116
StockCode,85049E,2,"85049E, 85049e",459
StockCode,85049G,2,"85049G, 85049g",321
StockCode,85099F,2,"85099F, 85099f",844
StockCode,85114A,2,"85114A, 85114a",71
StockCode,85114B,2,"85114B, 85114b",92
StockCode,85114C,2,"85114C, 85114c",113
StockCode,85123A,2,"85123A, 85123a",2368
StockCode,85132A,2,"85132A, 85132a",121
StockCode,85132B,2,"85132B, 85132b",85
StockCode,85132C,2,"85132C, 85132c",220
StockCode,85160A,2,"85160A, 85160a",3
StockCode,85179A,2,"85179A, 85179a",60
StockCode,85184C,2,"85184C, 85184c",196
StockCode,85231B,2,"85231B, 85231b",158
StockCode,85231G,2,"85231G, 85231g",91
StockCode,90183C,2,"90183C, 90183c",10
StockCode,90184C,2,"90184C, 90184c",18
StockCode,M,2,"M, m",567
