normalized_stock_code,observed_stock_code,row_count,distinct_description_count,missing_description_rows,min_description,max_description,first_seen,last_seen
15056BL,15056BL,326,1,0,EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL BLACK,2010-12-01 09:41:00,2011-12-09 10:20:00
15056BL,15056bl,62,1,0,EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL BLACK,2010-12-03 11:13:00,2011-12-09 10:26:00
15056N,15056N,465,1,0,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL NATURAL,2010-12-01 09:41:00,2011-12-09 10:20:00
15056N,15056n,84,1,0,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL NATURAL,2010-12-07 15:32:00,2011-11-30 14:11:00
15056P,15056P,148,1,0,EDWARDIAN PARASOL PINK,EDWARDIAN PARASOL PINK,2010-12-01 16:01:00,2011-12-08 13:50:00
15056P,15056p,26,1,0,EDWARDIAN PARASOL PINK,EDWARDIAN PARASOL PINK,2010-12-03 11:13:00,2011-12-05 11:48:00
15060B,15060B,134,1,2,FAIRY CAKE DESIGN UMBRELLA,FAIRY CAKE DESIGN UMBRELLA,2010-12-02 14:30:00,2011-11-18 14:57:00
15060B,15060b,3,1,0,FAIRY CAKE DESIGN UMBRELLA,FAIRY CAKE DESIGN UMBRELLA,2011-09-20 14:46:00,2011-11-20 13:58:00
18098C,18098C,55,1,2,PORCELAIN BUTTERFLY OIL BURNER,PORCELAIN BUTTERFLY OIL BURNER,2010-12-01 14:32:00,2011-08-08 13:11:00
18098C,18098c,12,1,0,PORCELAIN BUTTERFLY OIL BURNER,PORCELAIN BUTTERFLY OIL BURNER,2010-12-03 11:28:00,2010-12-21 15:17:00
35809A,35809A,64,1,1,ENAMEL PINK TEA CONTAINER,ENAMEL PINK TEA CONTAINER,2010-12-07 15:28:00,2011-06-09 15:34:00
35809A,35809a,9,1,0,ENAMEL PINK TEA CONTAINER,ENAMEL PINK TEA CONTAINER,2010-12-09 16:26:00,2011-05-10 15:07:00
46776A,46776A,70,1,0,WOVEN BUBBLE GUM CUSHION COVER,WOVEN BUBBLE GUM CUSHION COVER,2010-12-06 10:08:00,2011-12-09 10:03:00
46776A,46776a,1,1,0,WOVEN BUBBLE GUM CUSHION COVER,WOVEN BUBBLE GUM CUSHION COVER,2011-10-31 14:41:00,2011-10-31 14:41:00
46776B,46776B,88,1,0,WOVEN BERRIES CUSHION COVER,WOVEN BERRIES CUSHION COVER,2010-12-01 17:06:00,2011-12-09 10:03:00
46776B,46776b,1,1,0,WOVEN BERRIES CUSHION COVER,WOVEN BERRIES CUSHION COVER,2011-10-31 14:41:00,2011-10-31 14:41:00
46776E,46776E,38,1,0,WOVEN CANDY CUSHION COVER,WOVEN CANDY CUSHION COVER,2010-12-06 09:58:00,2011-12-09 10:03:00
46776E,46776e,1,1,0,WOVEN CANDY CUSHION COVER,WOVEN CANDY CUSHION COVER,2011-10-31 14:41:00,2011-10-31 14:41:00
46776F,46776F,89,1,0,WOVEN ROSE GARDEN CUSHION COVER,WOVEN ROSE GARDEN CUSHION COVER,2010-12-10 09:51:00,2011-12-09 10:03:00
46776F,46776f,1,1,0,WOVEN ROSE GARDEN CUSHION COVER,WOVEN ROSE GARDEN CUSHION COVER,2011-10-31 14:41:00,2011-10-31 14:41:00
47518F,47518F,28,1,0,ICON PLACEMAT POP ART ELVIS,ICON PLACEMAT POP ART ELVIS,2011-01-06 15:29:00,2011-11-29 12:09:00
47518F,47518f,5,1,0,ICON PLACEMAT POP ART ELVIS,ICON PLACEMAT POP ART ELVIS,2010-12-21 15:20:00,2011-10-26 14:42:00
47559B,47559B,292,1,1,TEA TIME OVEN GLOVE,TEA TIME OVEN GLOVE,2010-12-01 14:32:00,2011-12-09 10:03:00
47559B,47559b,28,1,0,TEA TIME OVEN GLOVE,TEA TIME OVEN GLOVE,2010-12-03 14:27:00,2011-12-08 10:53:00
47566B,47566B,376,3,0,TEA TIME PARTY BUNTING,reverse previous adjustment,2010-12-01 17:06:00,2011-12-04 13:20:00
47566B,47566b,102,1,0,TEA TIME PARTY BUNTING,TEA TIME PARTY BUNTING,2010-12-03 11:13:00,2011-11-08 15:24:00
47570B,47570B,33,1,2,TEA TIME TABLE CLOTH,TEA TIME TABLE CLOTH,2010-12-01 11:21:00,2011-09-07 10:15:00
47570B,47570b,2,1,0,TEA TIME TABLE CLOTH,TEA TIME TABLE CLOTH,2010-12-07 15:34:00,2011-01-25 14:01:00
47590B,47590B,399,2,0,PINK HAPPY BIRTHDAY BUNTING,check,2010-12-01 17:06:00,2011-12-09 10:03:00
47590B,47590b,9,1,0,PINK HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,2011-01-18 16:05:00,2011-11-13 11:50:00
47591B,47591B,59,2,2,?,SCOTTIES CHILDRENS APRON,2010-12-01 14:32:00,2011-12-06 09:30:00
47591B,47591b,1,1,0,SCOTTIES CHILDRENS APRON,SCOTTIES CHILDRENS APRON,2011-12-08 10:53:00,2011-12-08 10:53:00
47591D,47591D,442,1,1,PINK FAIRY CAKE CHILDRENS APRON,PINK FAIRY CAKE CHILDRENS APRON,2010-12-01 14:32:00,2011-12-08 16:30:00
47591D,47591d,56,1,0,PINK FAIRY CAKE CHILDRENS APRON,PINK FAIRY CAKE CHILDRENS APRON,2010-12-03 14:27:00,2011-11-29 15:08:00
47593B,47593B,247,1,0,SCOTTIE DOGS BABY BIB,SCOTTIE DOGS BABY BIB,2010-12-01 14:32:00,2011-12-08 09:28:00
47593B,47593b,1,1,0,SCOTTIE DOGS BABY BIB,SCOTTIE DOGS BABY BIB,2011-10-31 14:41:00,2011-10-31 14:41:00
48173C,48173C,192,1,1,DOORMAT BLACK FLOCK,DOORMAT BLACK FLOCK,2010-12-01 12:23:00,2011-12-08 09:20:00
48173C,48173c,7,1,0,DOORMAT BLACK FLOCK,DOORMAT BLACK FLOCK,2010-12-03 14:27:00,2011-05-03 09:44:00
51014C,51014C,179,1,0,"FEATHER PEN,COAL BLACK","FEATHER PEN,COAL BLACK",2010-12-01 14:54:00,2011-12-08 19:28:00
51014C,51014c,1,1,0,"FEATHER PEN,COAL BLACK","FEATHER PEN,COAL BLACK",2011-10-31 14:41:00,2011-10-31 14:41:00
72349B,72349B,116,1,0,SET/6 PURPLE BUTTERFLY T-LIGHTS,SET/6 PURPLE BUTTERFLY T-LIGHTS,2010-12-05 11:57:00,2011-12-09 10:03:00
72349B,72349b,82,1,0,SET/6 PURPLE BUTTERFLY T-LIGHTS,SET/6 PURPLE BUTTERFLY T-LIGHTS,2010-12-03 11:13:00,2011-12-09 10:26:00
72351A,72351A,156,1,0,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2010-12-03 11:36:00,2011-12-08 16:14:00
72351A,72351a,12,1,0,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2010-12-07 15:34:00,2011-10-26 14:42:00
72801C,72801C,20,2,0,4 ROSE PINK DINNER CANDLES,check,2010-12-02 14:47:00,2011-12-08 19:24:00
72801C,72801c,25,1,0,4 ROSE PINK DINNER CANDLES,4 ROSE PINK DINNER CANDLES,2011-01-25 09:37:00,2011-12-07 10:35:00
72801D,72801D,18,1,0,4 SKY BLUE DINNER CANDLES,4 SKY BLUE DINNER CANDLES,2010-12-02 14:47:00,2011-12-08 19:24:00
72801D,72801d,44,1,0,4 SKY BLUE DINNER CANDLES,4 SKY BLUE DINNER CANDLES,2010-12-14 15:56:00,2011-12-08 10:53:00
72802A,72802A,71,4,0,?,Wet pallet-thrown away,2010-12-03 15:05:00,2011-12-01 11:18:00
72802A,72802a,2,1,0,ROSE SCENT CANDLE IN JEWELLED BOX,ROSE SCENT CANDLE IN JEWELLED BOX,2011-07-04 11:10:00,2011-07-08 13:54:00
72802C,72802C,116,3,1,VANILLA SCENT CANDLE JEWELLED BOX,damages,2010-12-01 11:45:00,2011-11-30 14:46:00
72802C,72802c,1,1,0,VANILLA SCENT CANDLE JEWELLED BOX,VANILLA SCENT CANDLE JEWELLED BOX,2011-11-23 11:11:00,2011-11-23 11:11:00
72803B,72803B,1,0,1,NULL,NULL,2010-12-08 18:09:00,2010-12-08 18:09:00
