InvoiceNo,row_count,distinct_customer_count,missing_customer_rows,distinct_country_count,distinct_timestamp_count,min_customer_id,max_customer_id,min_country,max_country,first_timestamp,last_timestamp
536591,40,1,0,1,2,14606,14606,United Kingdom,United Kingdom,2010-12-01 16:57:00,2010-12-01 16:58:00
540185,29,1,0,1,2,14653,14653,United Kingdom,United Kingdom,2011-01-05 13:40:00,2011-01-05 13:41:00
541596,103,1,0,1,2,17602,17602,United Kingdom,United Kingdom,2011-01-19 16:18:00,2011-01-19 16:19:00
541631,72,1,0,1,2,12637,12637,France,France,2011-01-20 10:47:00,2011-01-20 10:48:00
541809,91,0,91,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-01-21 14:58:00,2011-01-21 14:59:00
541816,73,1,0,1,2,17799,17799,United Kingdom,United Kingdom,2011-01-21 15:56:00,2011-01-21 15:57:00
541849,45,1,0,1,2,13230,13230,United Kingdom,United Kingdom,2011-01-23 13:33:00,2011-01-23 13:34:00
542217,18,1,0,1,2,14606,14606,United Kingdom,United Kingdom,2011-01-26 12:35:00,2011-01-26 12:36:00
542806,39,1,0,1,2,12836,12836,United Kingdom,United Kingdom,2011-02-01 11:19:00,2011-02-01 11:20:00
543171,61,0,61,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-02-04 09:10:00,2011-02-04 09:11:00
543179,37,1,0,1,2,12754,12754,Japan,Japan,2011-02-04 10:31:00,2011-02-04 10:32:00
543182,144,0,144,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-02-04 10:39:00,2011-02-04 10:40:00
543777,43,1,0,1,2,15406,15406,United Kingdom,United Kingdom,2011-02-11 16:19:00,2011-02-11 16:20:00
544186,184,0,184,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-02-16 15:55:00,2011-02-16 15:56:00
544667,34,1,0,1,2,17511,17511,United Kingdom,United Kingdom,2011-02-22 15:09:00,2011-02-22 15:10:00
544926,6,1,0,1,2,13468,13468,United Kingdom,United Kingdom,2011-02-24 17:50:00,2011-02-24 17:51:00
545460,76,1,0,1,2,13230,13230,United Kingdom,United Kingdom,2011-03-02 17:32:00,2011-03-02 17:33:00
545713,120,0,120,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-03-07 10:11:00,2011-03-07 10:12:00
546388,90,0,90,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-03-11 13:42:00,2011-03-11 13:43:00
546986,46,1,0,1,2,14194,14194,United Kingdom,United Kingdom,2011-03-18 12:55:00,2011-03-18 12:56:00
547690,23,1,0,1,2,16063,16063,United Kingdom,United Kingdom,2011-03-24 14:55:00,2011-03-24 14:56:00
548203,139,0,139,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-03-29 16:40:00,2011-03-29 16:41:00
549245,34,1,0,1,2,15005,15005,United Kingdom,United Kingdom,2011-04-07 11:59:00,2011-04-07 12:00:00
549524,173,0,173,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-04-08 15:41:00,2011-04-08 15:42:00
550320,83,1,0,1,2,12748,12748,United Kingdom,United Kingdom,2011-04-17 12:37:00,2011-04-17 12:38:00
550333,22,1,0,1,2,15410,15410,United Kingdom,United Kingdom,2011-04-17 14:05:00,2011-04-17 14:06:00
550641,9,0,9,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-04-19 15:53:00,2011-04-19 15:54:00
550645,7,1,0,1,2,16098,16098,United Kingdom,United Kingdom,2011-04-19 16:30:00,2011-04-19 16:31:00
552000,143,0,143,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-05-05 15:55:00,2011-05-05 15:56:00
553199,58,1,0,1,2,17758,17758,United Kingdom,United Kingdom,2011-05-15 15:13:00,2011-05-15 15:14:00
553375,39,1,0,1,2,14911,14911,EIRE,EIRE,2011-05-16 14:52:00,2011-05-16 14:53:00
553556,51,1,0,1,2,17530,17530,United Kingdom,United Kingdom,2011-05-17 16:48:00,2011-05-17 16:49:00
554116,13,1,0,1,2,14514,14514,United Kingdom,United Kingdom,2011-05-22 15:11:00,2011-05-22 15:12:00
558086,48,1,0,1,2,16728,16728,United Kingdom,United Kingdom,2011-06-26 11:58:00,2011-06-26 11:59:00
561369,161,0,161,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-07-26 16:21:00,2011-07-26 16:22:00
562128,25,1,0,1,2,16150,16150,United Kingdom,United Kingdom,2011-08-03 09:06:00,2011-08-03 09:07:00
563245,25,1,0,1,2,16272,16272,United Kingdom,United Kingdom,2011-08-15 10:53:00,2011-08-15 10:54:00
567183,392,1,0,1,2,14769,14769,United Kingdom,United Kingdom,2011-09-18 15:32:00,2011-09-18 15:33:00
571735,14,1,0,1,2,14229,14229,United Kingdom,United Kingdom,2011-10-19 10:03:00,2011-10-19 10:04:00
574076,416,0,416,1,2,NULL,NULL,United Kingdom,United Kingdom,2011-11-02 15:37:00,2011-11-02 15:38:00
576057,42,1,0,1,2,15861,15861,United Kingdom,United Kingdom,2011-11-13 15:05:00,2011-11-13 15:06:00
578548,49,1,0,1,2,17345,17345,United Kingdom,United Kingdom,2011-11-24 15:02:00,2011-11-24 15:03:00
C545569,3,1,0,1,2,14239,14239,United Kingdom,United Kingdom,2011-03-03 16:25:00,2011-03-03 16:26:00
