source_row_number,InvoiceNo,StockCode,Description,Quantity,UnitPrice,line_value,InvoiceDate,CustomerID,Country
540422,581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.080,168469.600,2011-12-09 09:15:00,16446,United Kingdom
540423,C581484,23843,"PAPER CRAFT , LITTLE BIRDIE",-80995,2.080,-168469.600,2011-12-09 09:27:00,16446,United Kingdom
61620,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.040,77183.600,2011-01-18 10:01:00,12346,United Kingdom
61625,C541433,23166,MEDIUM CERAMIC TOP STORAGE JAR,-74215,1.040,-77183.600,2011-01-18 10:17:00,12346,United Kingdom
222681,556444,22502,PICNIC BASKET WICKER 60 PIECES,60,649.500,38970.000,2011-06-10 15:28:00,15098,United Kingdom
222682,C556445,M,Manual,-1,38970.000,-38970.000,2011-06-10 15:31:00,15098,United Kingdom
524603,C580605,AMAZONFEE,AMAZON FEE,-1,17836.460,-17836.460,2011-12-05 11:36:00,,United Kingdom
43703,C540117,AMAZONFEE,AMAZON FEE,-1,16888.020,-16888.020,2011-01-05 09:55:00,,United Kingdom
43704,C540118,AMAZONFEE,AMAZON FEE,-1,16453.710,-16453.710,2011-01-05 09:57:00,,United Kingdom
15017,C537630,AMAZONFEE,AMAZON FEE,-1,13541.330,-13541.330,2010-12-07 15:04:00,,United Kingdom
15018,537632,AMAZONFEE,AMAZON FEE,1,13541.330,13541.330,2010-12-07 15:08:00,,United Kingdom
16357,C537651,AMAZONFEE,AMAZON FEE,-1,13541.330,-13541.330,2010-12-07 15:49:00,,United Kingdom
16233,C537644,AMAZONFEE,AMAZON FEE,-1,13474.790,-13474.790,2010-12-07 15:34:00,,United Kingdom
524602,C580604,AMAZONFEE,AMAZON FEE,-1,11586.500,-11586.500,2011-12-05 11:35:00,,United Kingdom
299983,A563185,B,Adjust bad debt,1,11062.060,11062.060,2011-08-12 14:50:00,,United Kingdom
299984,A563186,B,Adjust bad debt,1,-11062.060,-11062.060,2011-08-12 14:51:00,,United Kingdom
299985,A563187,B,Adjust bad debt,1,-11062.060,-11062.060,2011-08-12 14:52:00,,United Kingdom
422376,C573079,M,Manual,-2,4161.060,-8322.120,2011-10-27 14:15:00,12536,France
446534,C574902,AMAZONFEE,AMAZON FEE,-1,8286.220,-8286.220,2011-11-07 15:21:00,,United Kingdom
173278,C551685,POST,POSTAGE,-1,8142.750,-8142.750,2011-05-03 12:51:00,16029,United Kingdom
