normalized_stock_code,row_count,invoice_count,description_count,example_description,min_unit_price,max_unit_price,max_line_value
AMAZONFEE,2,2,1,AMAZON FEE,219.760,13541.330,13541.330
B,1,1,1,Adjust bad debt,11062.060,11062.060,11062.060
POST,1126,1126,1,POSTAGE,0.550,8142.750,8142.750
DOT,706,706,1,DOTCOM POSTAGE,0.350,4505.170,4505.170
M,317,290,1,Manual,0.060,4287.630,4287.630
C2,141,141,1,CARRIAGE,15.000,150.000,150.000
DCGSSBOY,11,11,1,BOYS PARTY BAG,1.250,3.290,65.800
DCGSSGIRL,13,13,1,GIRLS PARTY BAG,1.250,3.290,55.930
GIFT_0001_50,4,4,1,"Dotcomgiftshop Gift Voucher £50.00",41.670,42.550,42.550
GIFT_0001_40,3,3,1,"Dotcomgiftshop Gift Voucher £40.00",33.330,34.040,34.040
GIFT_0001_20,9,9,1,"Dotcomgiftshop Gift Voucher £20.00",16.670,17.020,33.340
S,2,2,1,SAMPLES,30.000,33.050,33.050
DCGS0076,2,2,1,SUNJAR LED NIGHT NIGHT LIGHT,16.130,16.130,32.260
GIFT_0001_30,7,7,1,"Dotcomgiftshop Gift Voucher £30.00",25.000,25.530,25.530
GIFT_0001_10,8,8,1,"Dotcomgiftshop Gift Voucher £10.00",8.330,8.330,16.660
DCGS0004,1,1,1,HAYNES CAMPER SHOULDER BAG,16.630,16.630,16.630
DCGS0069,1,1,1,OOH LA LA DOGS COLLAR,15.790,15.790,15.790
BANK CHARGES,12,11,1,Bank Charges,0.001,15.000,15.000
DCGS0070,1,1,1,CAMOUFLAGE DOG COLLAR,12.720,12.720,12.720
DCGS0003,4,4,1,BOXED GLASS ASHTRAY,2.460,2.510,2.510
PADS,3,3,1,PADS TO MATCH ALL CUSHIONS,0.001,0.001,0.001
