normalized_stock_code,row_count,description_count,missing_description_rows,min_description,max_description
20713,679,8,4,Found,wrongly marked. 23343 in box
23084,1048,7,10,Amazon,website fixed
85175,153,6,1,? sold as sets?,wrongly sold sets
21830,110,6,2,?,sold as 1
21181,874,5,2,PLEASE ONE PERSON METAL SIGN,on cargo order
23343,498,5,0,20713,wrongly coded 20713
72807A,122,5,0,???missing,wet pallet
23131,121,5,1,?,had been put aside
85172,52,5,0,?sold as sets?,wrongly sold as sets
85123A,2368,4,0,?,wrongly marked carton 22804
23203,1260,4,0,JUMBO BAG DOILEY PATTERNS,mailout
23209,1126,4,0,LUNCH BAG DOILEY PATTERN,mailout
82583,639,4,4,?,amazon
82600,555,4,0,N0 SINGING METAL SIGN,historic computer difference?....se
21621,493,4,1,?,re dotcom quick fix.
22501,472,4,5,Found,reverse 21/5/10 adjustment
22734,443,4,2,FOUND,amazon sales
23236,347,4,0,DOILEY BISCUIT TIN,STORAGE TIN VINTAGE DOILY
23196,308,4,0,LEAVES MAGNETIC  SHOPPING LIST,VINTAGE LEAF MAGNETIC NOTEPAD
23118,278,4,0,Breakages,dotcom adjust
