normalized_stock_code,row_count,description_count,min_description,max_description
23236,330,4,DOILEY BISCUIT TIN,STORAGE TIN VINTAGE DOILY
23196,304,4,LEAVES MAGNETIC  SHOPPING LIST,VINTAGE LEAF MAGNETIC NOTEPAD
23203,1242,3,JUMBO BAG DOILEY PATTERNS,JUMBO BAG VINTAGE DOILY
23209,1114,3,LUNCH BAG DOILEY PATTERN,LUNCH BAG VINTAGE DOILY
23240,546,3,SET OF 4 KNICK KNACK TINS  DOILEY,SET OF 4 KNICK KNACK TINS DOILY
22776,537,3,"CAKESTAND, 3 TIER, LOVEHEART",SWEETHEART CAKESTAND 3 TIER
23126,293,3,DOLLCRAFT GIRL AMELIE,FELTCRAFT GIRL AMELIE KIT
23231,260,3,WRAP  VINTAGE DOILEY,WRAP DOILEY DESIGN
23535,216,3,BICYCLE SAFTEY WALL ART,WALL ART BICYCLE SAFTEY
23396,201,3,BUTTERFLY CUSHION COVER,LE JARDIN BOTANIQUE CUSHION COVER
23366,198,3,SET 12 COLOUR PENCILS DOILEY,SET 12 COLOURING PENCILS DOILY
22937,164,3,BAKING MOULD CHOCOLATE CUP CAKES,BAKING MOULD CUPCAKE CHOCOLATE
23370,153,3,SET 36 COLOUR PENCILS DOILEY,SET 36 COLOURING PENCILS DOILY
23131,116,3,MISELTOE HEART WREATH CREAM,MISTLETOE HEART WREATH CREAM
23244,112,3,CANNISTER VINTAGE LEAF DESIGN,STORAGE TIN VINTAGE LEAF
23413,58,3,DECORATIVE VINTAGE COFFEE  BOX,VINTAGE COFFEE GRINDER BOX
17107D,46,3,FLOWER FAIRY 5 DRAWER LINERS,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS"
85123A,2320,2,CREAM HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER
20725,1582,2,LUNCH BAG RED RETROSPOT,LUNCH BAG RED SPOTTY
22197,1418,2,POPCORN HOLDER,SMALL POPCORN HOLDER
