normalized_stock_code,Description,row_count,first_seen,last_seen,description_count,frequency_rank
23196,VINTAGE LEAF MAGNETIC NOTEPAD,278,2011-07-06 13:56:00,2011-12-09 10:26:00,4,1
23196,RETRO LEAVES MAGNETIC NOTEPAD,21,2011-06-23 11:51:00,2011-07-20 10:51:00,4,2
23196,RETO LEAVES MAGNETIC SHOPPING LIST,3,2011-06-24 09:22:00,2011-09-22 14:26:00,4,3
23196,LEAVES MAGNETIC  SHOPPING LIST,2,2011-07-01 14:53:00,2011-07-14 12:22:00,4,4
23236,STORAGE TIN VINTAGE DOILY,192,2011-08-05 17:12:00,2011-12-08 16:30:00,4,1
23236,DOILEY STORAGE TIN,123,2011-06-08 12:44:00,2011-11-10 16:51:00,4,2
23236,DOILEY BISCUIT TIN,13,2011-06-09 12:27:00,2011-09-14 10:34:00,4,3
23236,STORAGE TIN VINTAGE DOILEY,2,2011-08-04 16:32:00,2011-08-09 14:57:00,4,4
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",25,2010-12-03 12:24:00,2011-06-19 14:42:00,3,1
17107D,FLOWER FAIRY 5 DRAWER LINERS,20,2011-08-28 13:32:00,2011-12-05 15:51:00,3,2
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,1,2011-09-19 15:00:00,2011-09-19 15:00:00,3,3
22776,SWEETHEART CAKESTAND 3 TIER,377,2010-12-01 12:49:00,2011-10-10 13:30:00,3,1
22776,SWEETHEART 3 TIER CAKE STAND,159,2011-08-31 16:09:00,2011-12-09 10:26:00,3,2
22776,"CAKESTAND, 3 TIER, LOVEHEART",1,2010-12-02 10:53:00,2010-12-02 10:53:00,3,3
22937,BAKING MOULD CHOCOLATE CUPCAKES,161,2010-12-08 10:40:00,2011-12-07 08:45:00,3,1
22937,BAKING MOULD CHOCOLATE CUP CAKES,2,2010-12-09 10:04:00,2010-12-09 10:05:00,3,2
22937,BAKING MOULD CUPCAKE CHOCOLATE,1,2010-12-14 11:39:00,2010-12-14 11:39:00,3,3
23126,FELTCRAFT GIRL AMELIE KIT,277,2011-03-03 13:45:00,2011-12-09 12:20:00,3,1
23126,DOLLCRAFT GIRL AMELIE,8,2011-03-08 14:47:00,2011-05-19 19:32:00,3,2
23126,DOLLCRAFT GIRL AMELIE KIT,8,2011-03-02 16:26:00,2011-05-19 10:38:00,3,2
23131,MISTLETOE HEART WREATH CREAM,111,2011-04-26 16:45:00,2011-12-08 19:29:00,3,1
23131,MISELTOE HEART WREATH WHITE,4,2011-05-12 10:10:00,2011-10-05 08:53:00,3,2
23131,MISELTOE HEART WREATH CREAM,1,2011-07-31 15:42:00,2011-07-31 15:42:00,3,3
23203,JUMBO BAG VINTAGE DOILY,718,2011-08-05 16:43:00,2011-12-09 09:38:00,3,1
23203,JUMBO BAG DOILEY PATTERNS,517,2011-05-06 15:54:00,2011-11-09 13:56:00,3,2
23203,JUMBO BAG VINTAGE DOILEY,7,2011-08-04 16:38:00,2011-08-09 14:57:00,3,3
23209,LUNCH BAG VINTAGE DOILY,612,2011-08-05 16:43:00,2011-12-08 17:54:00,3,1
23209,LUNCH BAG DOILEY PATTERN,497,2011-05-08 11:08:00,2011-10-21 13:13:00,3,2
23209,LUNCH BAG VINTAGE DOILEY,5,2011-08-04 16:38:00,2011-08-12 11:08:00,3,3
23231,WRAP DOILEY DESIGN,164,2011-01-12 15:06:00,2011-08-18 08:49:00,3,1
23231,WRAP  VINTAGE DOILY,94,2011-08-09 14:18:00,2011-12-08 14:14:00,3,2
23231,WRAP  VINTAGE DOILEY,2,2011-08-05 11:00:00,2011-08-09 13:51:00,3,3
23240,SET OF 4 KNICK KNACK TINS DOILY,360,2011-08-05 15:38:00,2011-12-09 08:48:00,3,1
23240,SET OF 4 KNICK KNACK TINS DOILEY,185,2011-06-07 13:10:00,2011-10-06 13:42:00,3,2
23240,SET OF 4 KNICK KNACK TINS  DOILEY,1,2011-08-09 14:57:00,2011-08-09 14:57:00,3,3
23244,ROUND STORAGE TIN VINTAGE LEAF,103,2011-06-08 13:35:00,2011-12-08 16:30:00,3,1
23244,STORAGE TIN VINTAGE LEAF,7,2011-06-09 10:23:00,2011-09-22 14:26:00,3,2
23244,CANNISTER VINTAGE LEAF DESIGN,2,2011-06-14 09:43:00,2011-06-14 11:23:00,3,3
23366,SET 12 COLOURING PENCILS DOILY,194,2011-09-22 11:46:00,2011-12-09 10:03:00,3,1
23366,SET 12 COLOUR PENCILS DOILEY,3,2011-09-22 12:02:00,2011-10-21 14:41:00,3,2
23366,SET 12 COLOURING PENCILS DOILEY,1,2011-10-06 09:11:00,2011-10-06 09:11:00,3,3
23370,SET 36 COLOURING PENCILS DOILY,149,2011-09-22 12:42:00,2011-12-09 10:26:00,3,1
23370,SET 36 COLOUR PENCILS DOILEY,3,2011-09-22 12:02:00,2011-10-03 12:48:00,3,2
23370,SET 36 COLOURING PENCILS DOILEY,1,2011-10-06 09:11:00,2011-10-06 09:11:00,3,3
23396,LE JARDIN BOTANIQUE CUSHION COVER,171,2011-09-18 11:51:00,2011-12-08 18:42:00,3,1
23396,LA JARDIN BOTANIQUE CUSHION COVER,28,2011-09-04 14:36:00,2011-10-06 09:37:00,3,2
23396,BUTTERFLY CUSHION COVER,2,2011-09-04 12:07:00,2011-09-15 12:47:00,3,3
23413,VINTAGE COFFEE GRINDER BOX,30,2011-09-07 16:00:00,2011-10-20 14:40:00,3,1
23413,DECORATIVE VINTAGE COFFEE  BOX,22,2011-10-25 14:35:00,2011-12-08 16:30:00,3,2
23413,DECROTIVEVINTAGE COFFEE GRINDER BOX,6,2011-10-18 16:58:00,2011-10-26 11:19:00,3,3
23535,WALL ART BICYCLE SAFETY,174,2011-10-05 12:49:00,2011-12-09 10:20:00,3,1
23535,BICYCLE SAFTEY WALL ART,39,2011-10-02 14:37:00,2011-11-28 09:55:00,3,2
23535,WALL ART BICYCLE SAFTEY,3,2011-10-03 14:59:00,2011-10-04 14:41:00,3,3
16156L,WRAP CAROUSEL,14,2011-03-29 15:15:00,2011-12-02 10:22:00,2,1
16156L,"WRAP, CAROUSEL",4,2011-01-07 09:40:00,2011-03-03 13:45:00,2,2
20622,VIPPASSPORT COVER,34,2010-12-01 14:32:00,2011-06-22 12:16:00,2,1
20622,VIP PASSPORT COVER,17,2011-06-29 15:58:00,2011-12-05 17:24:00,2,2
20725,LUNCH BAG RED RETROSPOT,1581,2010-12-01 09:37:00,2011-12-09 12:23:00,2,1
