normalized_stock_code,description,row_count,invoice_count,country_count,provisional_quantity,provisional_line_value,first_seen,last_seen
DOT,DOTCOM POSTAGE,706,706,1,706,206248.770,2010-12-01 14:32:00,2011-12-09 10:26:00
POST,POSTAGE,1126,1126,24,3150,78101.880,2010-12-01 08:45:00,2011-12-09 12:16:00
M,Manual,317,290,12,6985,77752.820,2010-12-01 15:35:00,2011-12-08 13:50:00
AMAZONFEE,AMAZON FEE,2,2,1,2,13761.090,2010-12-07 15:08:00,2011-03-28 11:57:00
B,Adjust bad debt,1,1,1,1,11062.060,2011-08-12 14:50:00,2011-08-12 14:50:00
C2,CARRIAGE,141,141,4,142,7051.000,2010-12-01 14:05:00,2011-12-05 10:18:00
GIFT_0001_30,"Dotcomgiftshop Gift Voucher £30.00",7,7,1,7,175.530,2011-01-05 14:44:00,2011-09-02 09:26:00
GIFT_0001_50,"Dotcomgiftshop Gift Voucher £50.00",4,4,1,4,167.560,2010-12-23 13:26:00,2011-06-30 15:56:00
GIFT_0001_20,"Dotcomgiftshop Gift Voucher £20.00",9,9,1,10,167.050,2011-01-05 14:44:00,2011-10-31 14:41:00
BANK CHARGES,Bank Charges,12,11,1,12,165.001,2010-12-02 15:08:00,2011-12-07 12:45:00
GIFT_0001_40,"Dotcomgiftshop Gift Voucher £40.00",3,3,1,3,100.700,2010-12-20 10:14:00,2011-07-27 15:12:00
GIFT_0001_10,"Dotcomgiftshop Gift Voucher £10.00",8,8,1,9,74.970,2011-03-07 17:14:00,2011-12-08 09:20:00
S,SAMPLES,2,2,1,2,63.050,2011-04-11 13:24:00,2011-10-26 12:20:00
