normalized_country,observed_country,row_count,invoice_count,first_seen,last_seen,observed_variant_count
AUSTRALIA,Australia,1258,69,2010-12-01,2011-11-24,1
AUSTRIA,Austria,394,18,2010-12-15,2011-11-14,1
BAHRAIN,Bahrain,19,4,2010-12-20,2011-05-19,1
BELGIUM,Belgium,1971,114,2010-12-03,2011-11-29,1
BRAZIL,Brazil,32,1,2011-04-15,2011-04-15,1
CANADA,Canada,151,6,2011-03-14,2011-08-25,1
CHANNEL ISLANDS,Channel Islands,751,31,2010-12-09,2011-11-30,1
CYPRUS,Cyprus,607,19,2010-12-14,2011-11-18,1
CZECH REPUBLIC,Czech Republic,30,5,2011-02-28,2011-11-18,1
DENMARK,Denmark,378,20,2010-12-09,2011-11-30,1
EIRE,EIRE,7849,348,2010-12-01,2011-11-30,1
EUROPEAN COMMUNITY,European Community,61,5,2011-04-26,2011-07-21,1
FINLAND,Finland,681,44,2010-12-16,2011-11-30,1
FRANCE,France,8202,440,2010-12-01,2011-11-30,1
GERMANY,Germany,9140,581,2010-12-01,2011-11-30,1
GREECE,Greece,110,5,2011-01-24,2011-07-11,1
HONG KONG,Hong Kong,284,15,2011-01-24,2011-11-14,1
ICELAND,Iceland,171,6,2010-12-07,2011-10-31,1
ISRAEL,Israel,294,9,2010-12-15,2011-10-04,1
ITALY,Italy,795,54,2010-12-03,2011-11-30,1
JAPAN,Japan,350,27,2010-12-05,2011-11-29,1
LEBANON,Lebanon,45,1,2011-01-27,2011-01-27,1
LITHUANIA,Lithuania,35,4,2010-12-05,2010-12-08,1
MALTA,Malta,122,9,2011-06-08,2011-11-23,1
NETHERLANDS,Netherlands,2285,98,2010-12-01,2011-11-30,1
NORWAY,Norway,1013,37,2010-12-01,2011-11-30,1
POLAND,Poland,341,24,2010-12-03,2011-11-18,1
PORTUGAL,Portugal,1408,66,2010-12-03,2011-11-30,1
RSA,RSA,58,1,2011-10-13,2011-10-13,1
SAUDI ARABIA,Saudi Arabia,10,2,2011-02-24,2011-03-03,1
SINGAPORE,Singapore,229,10,2011-01-25,2011-10-19,1
SPAIN,Spain,2457,102,2010-12-03,2011-11-29,1
SWEDEN,Sweden,459,44,2010-12-14,2011-11-22,1
SWITZERLAND,Switzerland,1994,74,2010-12-03,2011-11-29,1
UNITED ARAB EMIRATES,United Arab Emirates,68,3,2011-02-14,2011-09-22,1
UNITED KINGDOM,United Kingdom,466653,22572,2010-12-01,2011-11-30,1
UNSPECIFIED,Unspecified,442,13,2011-04-11,2011-11-24,1
USA,USA,248,4,2011-04-19,2011-10-21,1
