sales_value_rank,stock_code,product_description,sales_value,sales_quantity,sales_value_contribution_pct
1,22423,REGENCY CAKESTAND 3 TIER,168162.420,13402,1.74574
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,104029.700,37094,1.079961
3,47566,PARTY BUNTING,98526.750,18147,1.022833
4,85099B,JUMBO BAG RED RETROSPOT,91932.910,47266,0.954381
5,23166,MEDIUM CERAMIC TOP STORAGE JAR,81448.210,77826,0.845536
6,22086,"PAPER CHAIN KIT 50'S CHRISTMAS",58007.830,17241,0.602195
7,23084,RABBIT NIGHT LIGHT,57241.570,26435,0.59424
8,84879,ASSORTED COLOUR BIRD ORNAMENT,56764.880,35032,0.589292
9,79321,CHILLI LIGHTS,51456.620,9840,0.534185
10,22502,PICNIC BASKET WICKER SMALL,51408.770,1937,0.533689
11,22197,POPCORN HOLDER,45910.670,50681,0.476611
12,23298,SPOTTY BUNTING,42383.320,8328,0.439993
13,22386,JUMBO BAG PINK POLKADOT,41474.690,20989,0.43056
14,23203,JUMBO BAG VINTAGE DOILY,40678.760,19819,0.422297
15,22720,SET OF 3 CAKE TINS PANTRY DESIGN,37020.740,7314,0.384322
16,23284,DOORMAT KEEP CALM AND COME IN,36575.420,5301,0.379699
17,22960,JAM MAKING SET WITH JARS,35826.850,8439,0.371928
18,20725,LUNCH BAG RED RETROSPOT,35086.010,19035,0.364238
19,21137,BLACK RECORD COVER FRAME,35050.950,10077,0.363874
20,82484,WOOD BLACK BOARD ANT WHITE FINISH,33624.340,5622,0.349064
21,85099F,JUMBO BAG STRAWBERRY,32150.080,16979,0.333759
22,22469,HEART OF WICKER SMALL,31796.820,17797,0.330092
23,22178,VICTORIAN GLASS HANGING T-LIGHT,31262.160,23285,0.324541
24,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,30083.230,9733,0.312302
25,21931,JUMBO STORAGE BAG SUKI,29919.570,13288,0.310603
26,23199,JUMBO BAG APPLES,29878.190,14668,0.310174
27,22470,HEART OF WICKER LARGE,29757.010,9781,0.308916
28,23245,SET OF 3 REGENCY CAKE TINS,29439.260,6074,0.305617
29,22112,CHOCOLATE HOT WATER BOTTLE,29356.340,5442,0.304756
30,22114,HOT WATER BOTTLE TEA AND SYMPATHY,29238.640,5132,0.303534
31,22699,ROSES REGENCY TEACUP AND SAUCER,28009.190,9549,0.290771
32,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27493.940,12077,0.285422
33,85099C,JUMBO  BAG BAROQUE BLACK WHITE,27411.790,13635,0.284569
34,20685,DOORMAT RED RETROSPOT,27393.480,4002,0.284379
35,22355,CHARLOTTE BAG SUKI DESIGN,26902.630,16993,0.279284
36,22727,ALARM CLOCK BAKELIKE RED,26830.470,6740,0.278534
37,23201,JUMBO BAG ALPHABET,26588.050,12735,0.276018
38,21175,GIN + TONIC DIET METAL SIGN,26305.070,11929,0.27308
39,22457,NATURAL SLATE HEART CHALKBOARD,25320.250,8191,0.262856
40,22726,ALARM CLOCK BAKELIKE GREEN,25320.050,6036,0.262854
41,21915,RED  HARMONICA IN BOX,25104.380,20781,0.260615
42,22629,SPACEBOY LUNCH BOX,24934.600,13822,0.258853
43,48138,DOORMAT UNION FLAG,24917.660,3676,0.258677
44,84946,ANTIQUE SILVER T-LIGHT GLASS,24872.640,18517,0.25821
45,23355,HOT WATER BOTTLE KEEP CALM,24744.120,5136,0.256876
46,22666,RECIPE BOX PANTRY YELLOW DESIGN,24557.060,7786,0.254934
47,23173,REGENCY TEAPOT ROSES,24402.570,2727,0.25333
48,21621,VINTAGE UNION JACK BUNTING,24245.700,2755,0.251701
49,22722,SET OF 6 SPICE TINS PANTRY DESIGN,23937.100,5866,0.248498
50,22961,JAM MAKING SET PRINTED,23906.220,15380,0.248177
51,48187,DOORMAT NEW ENGLAND,23785.290,3765,0.246922
52,48185,DOORMAT FAIRY CAKE,23765.660,3602,0.246718
53,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,23729.900,8570,0.246347
54,21181,PLEASE ONE PERSON METAL SIGN,23711.360,11563,0.246154
55,22326,ROUND SNACK BOXES SET OF4 WOODLAND,23558.270,8263,0.244565
56,15056N,EDWARDIAN PARASOL NATURAL,23224.130,3993,0.241096
57,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23121.240,4730,0.240028
58,21731,RED TOADSTOOL LED NIGHT LIGHT,22936.930,13516,0.238115
59,22138,BAKING SET 9 PIECE RETROSPOT,22833.160,4660,0.237037
60,21929,JUMBO BAG PINK VINTAGE PAISLEY,22788.610,10811,0.236575
61,82482,WOODEN PICTURE FRAME WHITE FINISH,22565.120,8837,0.234255
62,22090,PAPER BUNTING RETROSPOT,22444.680,7452,0.233004
63,21733,RED HANGING HEART T-LIGHT HOLDER,22436.900,7602,0.232924
64,21623,VINTAGE UNION JACK MEMOBOARD,22381.940,3201,0.232353
65,22111,SCOTTIE DOG HOT WATER BOTTLE,22315.480,4248,0.231663
66,22383,LUNCH BAG SUKI DESIGN,22091.640,12357,0.229339
67,22189,CREAM HEART CARD HOLDER,21999.190,7879,0.22838
68,20713,JUMBO BAG OWLS,21945.700,10917,0.227824
69,48194,DOORMAT HEARTS,21826.660,3386,0.226589
70,84997D,CHILDRENS CUTLERY POLKADOT PINK,21792.410,5284,0.226233
71,22697,GREEN REGENCY TEACUP AND SAUCER,21739.870,6961,0.225688
72,22139,RETROSPOT TEA SET CERAMIC 11 PC,21724.810,4319,0.225531
73,20727,LUNCH BAG  BLACK SKULL.,21666.370,11882,0.224925
74,20712,JUMBO BAG WOODLAND ANIMALS,21649.040,9617,0.224745
75,23344,"JUMBO BAG 50'S CHRISTMAS",21527.120,9200,0.223479
76,20728,LUNCH BAG CARS BLUE,21434.520,11666,0.222518
77,22630,DOLLY GIRL LUNCH BOX,21217.680,11595,0.220267
78,21523,DOORMAT FANCY FONT HOME SWEET HOME,21149.600,3193,0.21956
79,85066,CREAM SWEETHEART MINI CHEST,21053.460,1654,0.218562
80,82494L,WOODEN FRAME ANTIQUE WHITE,20969.400,6769,0.217689
81,23202,JUMBO BAG VINTAGE LEAF,20797.980,10451,0.21591
82,21212,PACK OF 72 RETROSPOT CAKE CASES,20739.580,35937,0.215303
83,23209,LUNCH BAG VINTAGE DOILY,20651.700,12714,0.214391
84,22659,LUNCH BOX I LOVE LONDON,20552.660,11403,0.213363
85,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,20551.350,10166,0.213349
86,20724,RED RETROSPOT CHARLOTTE BAG,20350.030,16914,0.211259
87,23206,LUNCH BAG APPLE DESIGN,20328.850,11953,0.211039
88,84029E,RED WOOLLY HOTTIE WHITE HEART.,20233.880,4333,0.210053
89,21843,RED RETROSPOT CAKE STAND,20217.900,1924,0.209888
90,22728,ALARM CLOCK BAKELIKE PINK,19836.140,5143,0.205924
91,22501,PICNIC BASKET WICKER LARGE,19302.260,1602,0.200382
92,21166,COOK WITH WINE METAL SIGN,19041.390,9456,0.197674
93,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,19022.420,6268,0.197477
94,22328,ROUND SNACK BOXES SET OF 4 FRUITS,18776.370,6731,0.194923
95,84997B,CHILDRENS CUTLERY RETROSPOT RED,18633.960,4471,0.193444
96,21479,WHITE SKULL HOT WATER BOTTLE,18519.540,3593,0.192256
97,15036,ASSORTED COLOURS SILK FAN,18495.770,23757,0.19201
98,22969,HOMEMADE JAM SCENTED CANDLES,18367.730,12290,0.19068
99,22467,GUMBALL COAT RACK,18108.610,7642,0.18799
100,20726,LUNCH BAG WOODLAND,17895.900,9713,0.185782
101,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17877.260,6214,0.185589
102,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17835.860,10033,0.185159
103,22382,LUNCH BAG SPACEBOY DESIGN,17772.210,10284,0.184498
104,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17621.430,15987,0.182933
105,82486,WOOD S/3 CABINET ANT WHITE FINISH,17552.510,2045,0.182217
106,22384,LUNCH BAG PINK POLKADOT,17125.700,10356,0.177787
107,21485,RETROSPOT HEART HOT WATER BOTTLE,16801.590,3356,0.174422
108,22492,MINI PAINT SET VINTAGE,16744.100,26341,0.173825
109,22698,PINK REGENCY TEACUP AND SAUCER,16581.300,5534,0.172135
110,22077,6 RIBBONS RUSTIC CHARM,16552.870,8885,0.17184
111,21754,HOME BUILDING BLOCK WORD,16521.570,2701,0.171515
112,15056BL,EDWARDIAN PARASOL BLACK,16405.490,2854,0.17031
113,22385,JUMBO BAG SPACEBOY DESIGN,16384.810,8315,0.170095
