month_start,sales_value,sales_quantity,reporting_period_contribution_pct,previous_month_sales_value,monthly_sales_value_change,monthly_sales_value_change_ratio
2010-12-01,775638.360,357529,8.052115,,,
2011-01-01,670380.240,386738,6.959401,775638.360,-105258.120,-0.135705
2011-02-01,507799.870,282627,5.27161,670380.240,-162580.370,-0.24252
2011-03-01,689833.510,376182,7.161351,507799.870,182033.640,0.358475
2011-04-01,515377.991,307651,5.350281,689833.510,-174455.519,-0.252895
2011-05-01,739953.000,394653,7.681655,515377.991,224575.009,0.435748
2011-06-01,737558.980,388124,7.656802,739953.000,-2394.020,-0.003235
2011-07-01,688219.341,399291,7.144594,737558.980,-49339.639,-0.066896
2011-08-01,724216.500,420695,7.51829,688219.341,35997.159,0.052305
2011-09-01,1028320.381,568701,10.675276,724216.500,304103.881,0.419907
2011-10-01,1103314.250,619597,11.453808,1028320.381,74993.869,0.072929
2011-11-01,1452115.980,746952,15.074815,1103314.250,348801.730,0.31614
