stock_code,month_start,sales_value,sales_quantity,product_contribution_pct,previous_month_sales_value,monthly_sales_value_change,monthly_sales_value_change_ratio
22423,2010-12-01,27694.760,2077,3.570576,,,
22423,2011-01-01,12800.600,1036,1.909454,27694.760,-14894.160,-0.537797
22423,2011-02-01,11009.490,901,2.168077,12800.600,-1791.110,-0.139924
22423,2011-03-01,18359.250,1452,2.661403,11009.490,7349.760,0.667584
22423,2011-04-01,14812.950,1195,2.874191,18359.250,-3546.300,-0.193161
22423,2011-05-01,12645.970,1062,1.709023,14812.950,-2166.980,-0.14629
22423,2011-06-01,9732.640,783,1.319574,12645.970,-2913.330,-0.230376
22423,2011-07-01,13936.110,1147,2.024952,9732.640,4203.470,0.431894
22423,2011-08-01,10521.300,842,1.452784,13936.110,-3414.810,-0.245033
22423,2011-09-01,9619.530,774,0.93546,10521.300,-901.770,-0.085709
22423,2011-10-01,13255.740,1081,1.201447,9619.530,3636.210,0.378003
22423,2011-11-01,13774.080,1052,0.948552,13255.740,518.340,0.039103
