line_sales_value_rank,source_row_number,InvoiceNo,InvoiceDate,transaction_date,stock_code,source_stock_code,Description,Quantity,UnitPrice,sales_value,CustomerID,Country
1,23264,538191,2010-12-10 10:49:00,2010-12-10,22423,22423,REGENCY CAKESTAND 3 TIER,272,10.950,2978.400,15061,United Kingdom
2,282262,561633,2011-07-28 14:33:00,2011-07-28,22423,22423,REGENCY CAKESTAND 3 TIER,192,10.950,2102.400,17949,United Kingdom
3,40969,539750,2010-12-21 15:40:00,2010-12-21,22423,22423,REGENCY CAKESTAND 3 TIER,79,25.490,2013.710,,United Kingdom
4,58118,541220,2011-01-14 14:11:00,2011-01-14,22423,22423,REGENCY CAKESTAND 3 TIER,160,10.950,1752.000,14156,EIRE
5,106785,545341,2011-03-02 09:03:00,2011-03-02,22423,22423,REGENCY CAKESTAND 3 TIER,150,10.950,1642.500,17949,United Kingdom
6,169824,551259,2011-04-27 12:04:00,2011-04-27,22423,22423,REGENCY CAKESTAND 3 TIER,150,10.950,1642.500,17949,United Kingdom
7,4506,536785,2010-12-02 15:22:00,2010-12-02,22423,22423,REGENCY CAKESTAND 3 TIER,144,10.950,1576.800,15061,United Kingdom
8,30668,538877,2010-12-14 15:29:00,2010-12-14,22423,22423,REGENCY CAKESTAND 3 TIER,52,25.490,1325.480,,United Kingdom
9,6608,536970,2010-12-03 13:12:00,2010-12-03,22423,22423,REGENCY CAKESTAND 3 TIER,120,10.950,1314.000,17949,United Kingdom
10,186919,552888,2011-05-12 10:23:00,2011-05-12,22423,22423,REGENCY CAKESTAND 3 TIER,120,10.950,1314.000,15061,United Kingdom
11,212530,555490,2011-06-03 13:50:00,2011-06-03,22423,22423,REGENCY CAKESTAND 3 TIER,120,10.950,1314.000,17949,United Kingdom
12,377923,569570,2011-10-05 10:06:00,2011-10-05,22423,22423,REGENCY CAKESTAND 3 TIER,120,10.950,1314.000,16684,United Kingdom
13,263181,559941,2011-07-14 10:20:00,2011-07-14,22423,22423,REGENCY CAKESTAND 3 TIER,112,10.950,1226.400,17396,United Kingdom
14,25025,538351,2010-12-10 15:17:00,2010-12-10,22423,22423,REGENCY CAKESTAND 3 TIER,38,25.490,968.620,,United Kingdom
15,14785,537618,2010-12-07 13:50:00,2010-12-07,22423,22423,REGENCY CAKESTAND 3 TIER,80,10.950,876.000,15061,United Kingdom
16,31604,538998,2010-12-15 12:08:00,2010-12-15,22423,22423,REGENCY CAKESTAND 3 TIER,80,10.950,876.000,15061,United Kingdom
17,378280,569640,2011-10-05 12:25:00,2011-10-05,22423,22423,REGENCY CAKESTAND 3 TIER,80,10.950,876.000,12471,Germany
18,508938,579284,2011-11-29 10:52:00,2011-11-29,22423,22423,REGENCY CAKESTAND 3 TIER,80,10.950,876.000,15061,United Kingdom
19,6902,536982,2010-12-03 14:27:00,2010-12-03,22423,22423,REGENCY CAKESTAND 3 TIER,33,25.490,841.170,,United Kingdom
20,89827,543976,2011-02-14 15:26:00,2011-02-14,22423,22423,REGENCY CAKESTAND 3 TIER,72,10.950,788.400,13089,United Kingdom
