country,country_label
Australia,Australia
Austria,Austria
Bahrain,Bahrain
Belgium,Belgium
Brazil,Brazil
Canada,Canada
Channel Islands,Channel Islands
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
EIRE,EIRE
European Community,European Community
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Hong Kong,Hong Kong
Iceland,Iceland
Israel,Israel
Italy,Italy
Japan,Japan
Lebanon,Lebanon
Lithuania,Lithuania
Malta,Malta
Netherlands,Netherlands
Norway,Norway
Poland,Poland
Portugal,Portugal
RSA,RSA
Saudi Arabia,Saudi Arabia
Singapore,Singapore
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
USA,USA
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Unspecified,Unspecified
